Layer,Attack_type,percentage_of_weights_flipped,number_of_weights_flipped,Model_loss,Layer_type,loss_fn
backbone.layers.0.mixer.out_proj.weight,Gradient,1.0,83886,2.8831083017090955,mixer.out_proj.weight,3.4369362011647895e-05
backbone.layers.0.mixer.out_proj.weight,Gradient,5.0,419430,3.267242052902778,mixer.out_proj.weight,7.789719507194951e-06
backbone.layers.0.mixer.out_proj.weight,Gradient,10.0,838860,3.5660882306595645,mixer.out_proj.weight,4.251112498700098e-06
backbone.layers.0.mixer.out_proj.weight,Gradient,50.0,4194304,5.714014381170273,mixer.out_proj.weight,1.3623271897245104e-06
backbone.layers.0.mixer.out_proj.weight,Hybrid,0.001,83,2.8612246215343475,mixer.out_proj.weight,0.034472585801618646
backbone.layers.0.mixer.out_proj.weight,Hybrid,0.01,838,2.88824982692798,mixer.out_proj.weight,0.0034465988388162052
backbone.layers.0.mixer.out_proj.weight,Hybrid,0.1,8388,2.9188015523056188,mixer.out_proj.weight,0.0003479734802462588
backbone.layers.0.mixer.out_proj.weight,Hybrid,1.0,83886,2.962272015710672,mixer.out_proj.weight,3.53130679220689e-05
backbone.layers.0.mixer.out_proj.weight,Hybrid,5.0,419430,3.6224625756343207,mixer.out_proj.weight,8.636632037847366e-06
backbone.layers.0.mixer.out_proj.weight,Hybrid,10.0,838860,4.566230120758216,mixer.out_proj.weight,5.443375677417228e-06
backbone.layers.0.mixer.out_proj.weight,Hybrid,50.0,4194304,8.25434073805809,mixer.out_proj.weight,1.9679881901879526e-06
backbone.layers.1.norm.weight,Magnitude,0.1,2,2.857156718770663,norm.weight,1.4285783593853314
backbone.layers.1.norm.weight,Magnitude,1.0,20,2.867617835601171,norm.weight,0.14338089178005856
backbone.layers.1.norm.weight,Magnitude,5.0,102,2.880998139580091,norm.weight,0.028245079799804812
backbone.layers.1.norm.weight,Magnitude,10.0,204,2.885654137780269,norm.weight,0.014145363420491516
backbone.layers.1.norm.weight,Magnitude,50.0,1024,2.9152963707844415,norm.weight,0.002846969112094181
backbone.layers.1.norm.weight,Gradient,0.1,2,2.8718316132823625,norm.weight,1.4359158066411812
backbone.layers.1.norm.weight,Gradient,1.0,20,2.870340002079805,norm.weight,0.14351700010399024
backbone.layers.1.norm.weight,Gradient,5.0,102,2.8737239154676595,norm.weight,0.028173763877133915
backbone.layers.1.norm.weight,Gradient,10.0,204,2.876133835564057,norm.weight,0.014098695272372827
backbone.layers.1.norm.weight,Gradient,50.0,1024,2.907651281605164,norm.weight,0.002839503204692543
backbone.layers.1.norm.weight,Hybrid,0.1,2,2.8624832443892956,norm.weight,1.4312416221946478
backbone.layers.1.norm.weight,Hybrid,1.0,20,2.8869099840521812,norm.weight,0.14434549920260906
backbone.layers.1.norm.weight,Hybrid,5.0,102,2.883923583974441,norm.weight,0.0282737606272004
backbone.layers.1.norm.weight,Hybrid,10.0,204,2.894187420606613,norm.weight,0.014187193238267712
backbone.layers.1.norm.weight,Hybrid,50.0,1024,2.905661705881357,norm.weight,0.002837560259649763
backbone.layers.1.mixer.A_log,Magnitude,0.01,6,2.8567348482708135,mixer.A_log,0.47612247471180225
backbone.layers.1.mixer.A_log,Magnitude,0.1,65,2.8480430195728936,mixer.A_log,0.043816046454967596
backbone.layers.1.mixer.A_log,Magnitude,1.0,655,2.946594422062238,mixer.A_log,0.004498617438262959
backbone.layers.1.mixer.A_log,Magnitude,5.0,3276,3.6308514525492988,mixer.A_log,0.0011083185142091877
backbone.layers.1.mixer.A_log,Magnitude,10.0,6553,4.178151878217856,mixer.A_log,0.0006375937552598591
backbone.layers.1.mixer.A_log,Magnitude,50.0,32768,4.080341152846813,mixer.A_log,0.0001245221299086552
backbone.layers.1.mixer.A_log,Gradient,0.01,6,2.8566429826120534,mixer.A_log,0.47610716376867557
backbone.layers.1.mixer.A_log,Gradient,0.1,65,2.8477096619705358,mixer.A_log,0.043810917876469783
backbone.layers.1.mixer.A_log,Gradient,1.0,655,2.862942369033893,mixer.A_log,0.004370904380204417
backbone.layers.1.mixer.A_log,Gradient,5.0,3276,3.0788819578786693,mixer.A_log,0.0009398296574721212
backbone.layers.1.mixer.A_log,Gradient,10.0,6553,3.314938932657242,mixer.A_log,0.0005058658526868979
backbone.layers.1.mixer.A_log,Gradient,50.0,32768,4.283929869532585,mixer.A_log,0.00013073516447548172
backbone.layers.1.mixer.A_log,Hybrid,0.01,6,2.857555282612642,mixer.A_log,0.4762592137687736
backbone.layers.1.mixer.A_log,Hybrid,0.1,65,2.8483321480453014,mixer.A_log,0.04382049458531233
backbone.layers.1.mixer.A_log,Hybrid,1.0,655,2.9477335860331855,mixer.A_log,0.004500356619897993
backbone.layers.1.mixer.A_log,Hybrid,5.0,3276,3.688363096366326,mixer.A_log,0.001125873961039782
backbone.layers.1.mixer.A_log,Hybrid,10.0,6553,4.201100034018357,mixer.A_log,0.0006410956865585773
backbone.layers.1.mixer.A_log,Hybrid,50.0,32768,4.240627316137155,mixer.A_log,0.0001294136754192247
backbone.layers.1.mixer.D,Magnitude,0.1,4,2.8583493505915007,mixer.D,0.7145873376478752
backbone.layers.1.mixer.D,Magnitude,1.0,40,2.8631214710573354,mixer.D,0.07157803677643339
backbone.layers.1.mixer.D,Magnitude,5.0,204,2.875732585787773,mixer.D,0.01409672836170477
backbone.layers.1.mixer.D,Magnitude,10.0,409,2.873871532579263,mixer.D,0.007026580764252477
backbone.layers.1.mixer.D,Magnitude,50.0,2048,2.8863971705238023,mixer.D,0.0014093736184198253
backbone.layers.1.mixer.D,Gradient,0.1,4,2.8577494397759438,mixer.D,0.7144373599439859
backbone.layers.1.mixer.D,Gradient,1.0,40,2.855605444560448,mixer.D,0.07139013611401121
backbone.layers.1.mixer.D,Gradient,5.0,204,2.876286639521519,mixer.D,0.014099444311379996
backbone.layers.1.mixer.D,Gradient,10.0,409,2.8828833351532617,mixer.D,0.007048614511377168
backbone.layers.1.mixer.D,Gradient,50.0,2048,2.888371859987577,mixer.D,0.001410337822259559
backbone.layers.1.mixer.D,Hybrid,0.1,4,2.857807749261459,mixer.D,0.7144519373153647
backbone.layers.1.mixer.D,Hybrid,1.0,40,2.8625908866524696,mixer.D,0.07156477216631174
backbone.layers.1.mixer.D,Hybrid,5.0,204,2.87502737591664,mixer.D,0.014093271450571763
