Layer,Attack_type,percentage_of_weights_flipped,number_of_weights_flipped,Model_loss
backbone.layers.1.mixer.D,Hybrid,0.01,0,2.8569481670856476
backbone.layers.1.mixer.D,Hybrid,0.1,4,2.857807749261459
backbone.layers.1.mixer.D,Hybrid,1.0,40,2.8625908866524696
backbone.layers.1.mixer.D,Hybrid,5.0,204,2.87502737591664
backbone.layers.1.mixer.D,Hybrid,10.0,409,2.874288823455572
backbone.layers.1.mixer.D,Hybrid,50.0,2048,2.887532688677311
backbone.layers.1.mixer.conv1d.weight,Magnitude,0.001,0,2.8569481670856476
backbone.layers.1.mixer.conv1d.weight,Magnitude,0.01,1,2.8565605022013187
backbone.layers.1.mixer.conv1d.weight,Magnitude,0.1,16,2.865227274596691
backbone.layers.1.mixer.conv1d.weight,Magnitude,1.0,163,2.9357766608397164
backbone.layers.1.mixer.conv1d.weight,Magnitude,5.0,819,3.101319942623377
backbone.layers.1.mixer.conv1d.weight,Magnitude,10.0,1638,2.9579717305799327
backbone.layers.1.mixer.conv1d.weight,Magnitude,50.0,8192,3.881455740580956
backbone.layers.1.mixer.conv1d.weight,Gradient,0.001,0,2.8569481670856476
backbone.layers.1.mixer.conv1d.weight,Gradient,0.01,1,2.8569283510247865
backbone.layers.1.mixer.conv1d.weight,Gradient,0.1,16,2.8531171505649886
backbone.layers.1.mixer.conv1d.weight,Gradient,1.0,163,2.880349444846312
backbone.layers.1.mixer.conv1d.weight,Gradient,5.0,819,2.8879004505773387
backbone.layers.1.mixer.conv1d.weight,Gradient,10.0,1638,3.028033424168825
backbone.layers.1.mixer.conv1d.weight,Gradient,50.0,8192,3.2983803637325764
backbone.layers.1.mixer.conv1d.weight,Hybrid,0.001,0,2.8569481670856476
backbone.layers.1.mixer.conv1d.weight,Hybrid,0.01,1,2.857340561846892
backbone.layers.1.mixer.conv1d.weight,Hybrid,0.1,16,2.8616870641708374
backbone.layers.1.mixer.conv1d.weight,Hybrid,1.0,163,2.92704172556599
backbone.layers.1.mixer.conv1d.weight,Hybrid,5.0,819,2.983119159936905
backbone.layers.1.mixer.conv1d.weight,Hybrid,10.0,1638,2.969683484484752
backbone.layers.1.mixer.conv1d.weight,Hybrid,50.0,8192,3.8710079416632652
backbone.layers.1.mixer.conv1d.bias,Magnitude,0.001,0,2.8569481670856476
backbone.layers.1.mixer.conv1d.bias,Magnitude,0.01,0,2.8569481670856476
backbone.layers.1.mixer.conv1d.bias,Magnitude,0.1,4,2.858083788305521
backbone.layers.1.mixer.conv1d.bias,Magnitude,1.0,40,2.8678572985033193
backbone.layers.1.mixer.conv1d.bias,Magnitude,5.0,204,2.886258284250895
backbone.layers.1.mixer.conv1d.bias,Magnitude,10.0,409,3.054331112653017
backbone.layers.1.mixer.conv1d.bias,Magnitude,50.0,2048,6.720246558388074
backbone.layers.1.mixer.conv1d.bias,Gradient,0.001,0,2.8569481670856476
backbone.layers.1.mixer.conv1d.bias,Gradient,0.01,0,2.8569481670856476
backbone.layers.1.mixer.conv1d.bias,Gradient,0.1,4,2.8563263105849424
backbone.layers.1.mixer.conv1d.bias,Gradient,1.0,40,2.85885538905859
backbone.layers.1.mixer.conv1d.bias,Gradient,5.0,204,2.8596031765143075
backbone.layers.1.mixer.conv1d.bias,Gradient,10.0,409,2.8573399571081004
backbone.layers.1.mixer.conv1d.bias,Gradient,50.0,2048,2.8839871659874916
backbone.layers.1.mixer.conv1d.bias,Hybrid,0.001,0,2.8569481670856476
backbone.layers.1.mixer.conv1d.bias,Hybrid,0.01,0,2.8569481670856476
backbone.layers.1.mixer.conv1d.bias,Hybrid,0.1,4,2.8574006743729115
backbone.layers.1.mixer.conv1d.bias,Hybrid,1.0,40,2.8658137917518616
backbone.layers.1.mixer.conv1d.bias,Hybrid,5.0,204,2.880796982596318
backbone.layers.1.mixer.conv1d.bias,Hybrid,10.0,409,2.937126745780309
backbone.layers.1.mixer.conv1d.bias,Hybrid,50.0,2048,6.522362771133582
backbone.layers.1.mixer.in_proj.weight,Magnitude,0.001,167,2.8622573850055537
backbone.layers.1.mixer.in_proj.weight,Magnitude,0.01,1677,2.866846097012361
backbone.layers.1.mixer.in_proj.weight,Magnitude,0.1,16777,2.8743229396641254
backbone.layers.1.mixer.in_proj.weight,Magnitude,1.0,167772,2.888333011418581
backbone.layers.1.mixer.in_proj.weight,Magnitude,5.0,838860,2.9070057260493436
backbone.layers.1.mixer.in_proj.weight,Magnitude,10.0,1677721,2.9084797675410905
backbone.layers.1.mixer.in_proj.weight,Magnitude,50.0,8388608,3.050306301563978
backbone.layers.1.mixer.in_proj.weight,Gradient,0.001,167,2.857343548287948
backbone.layers.1.mixer.in_proj.weight,Gradient,0.01,1677,2.856616052488486
backbone.layers.1.mixer.in_proj.weight,Gradient,0.1,16777,2.8570296789209046
backbone.layers.1.mixer.in_proj.weight,Gradient,1.0,167772,2.8606601047019162
backbone.layers.1.mixer.in_proj.weight,Gradient,5.0,838860,2.8724436908960342
backbone.layers.1.mixer.in_proj.weight,Gradient,10.0,1677721,2.8856495258708796
backbone.layers.1.mixer.in_proj.weight,Gradient,50.0,8388608,2.936146022131046
backbone.layers.1.mixer.in_proj.weight,Hybrid,0.001,167,2.862921585639318
backbone.layers.1.mixer.in_proj.weight,Hybrid,0.01,1677,2.868315525352955
